标题,来源,时间,问题,回答
辽宁大学汉语言文学专业对于浙江开放招生吗？,13***81 (浙江),2018-06-23 09:11,请问辽宁大学2018的汉语言专业对于浙江学生招生吗？,您好，辽宁大学2018年汉语言文学专业未在浙江省设置招生计划。
读研,15***11 (辽宁),2018-06-22 09:27,贵校的财政学专业，如果想读研，在本校可以继续在本校读吗,您好，辽宁大学财政学专业有硕士点，您可以报考辽宁大学财政学专业硕士研究生。
河南理科,22***7 (河南),2014-06-12 11:01,您好贵校今年在河南计划招生多少人啊预计多少分有望报考贵校,招生计划请登陆zs.lnu.edu.cn查看。录取分数由考生最终实际报考人数和分数决定，只有在录取时数据统一汇集到高校才能知道，之前是无法准确估计的，考生可以登陆zs.lnu.edu.cn，参考一下往年录取情况。
录取机率,mz*** (山东),2013-06-28 09:44,你好老师：我是山东考生，今年高考理科成绩为593分（含少数民族政策优惠分10分），高于一本科39分，这个成绩录取的概率有多少？服从专业调剂是否也有可能退档？,关于某个分数时候能被录取几率的问题，在录取前都无法给出准确的回答，请考生参考往年的录取分差来参考吧。我校不承诺服从调剂不退档。我校调档比例不超过110%，但从历年来看，学校未退一名服从调剂考生。
投档比例,po*** (黑龙江),2013-06-18 14:20,投档比例是多少？分专业是以实际考分还是含政策加分排序？是否有级差？谢谢!,投档比例不超过110%；按实际高考文化课成绩分专业；分数优先，遵循志愿，没有级差。
山东文科606位次3985，请问被贵校录取可能大不大？,15***39 (山东),2018-06-28 16:53,山东文科606位次3985，请问被贵校录取可能大不大？谢谢老师！,您好，辽宁大学2017年山东文科类最低分583分，请查询对应2017年位次，并结合606分在2018年的位次进行报考。
你好 我是黑龙江2018年考生文史类566分能考上么，,25***@qq.com (黑龙江),2018-06-28 16:40,你好我是黑龙江2018年考生文史类566分能考上么，省排名为1018--1056.线差为76。我想问下能不能上贵校,辽宁大学2017年文史普能类最低分548分，请结合该分在2017年位次表位置，并参考566分在2018年位次信息，进行报考。
急急急 辽宁理科急需指导,13***35 (辽宁),2018-06-28 16:06,老师你好，我是辽宁考生587分，位次15469报考贵校希望大吗？另外贵校适合理科生学习的专业有哪些？急需指导,您好，2017年辽宁大学普通类理科录取最低分546，位次17835。学校开设理科专业详情请参考2018年招生简章及辽宁大学官网。
退档问题,25***0@qq.com (辽宁),2018-06-28 14:56,只要学生被提档且服从调剂就不会被退档吗,您好，考生，我校平行志愿投档批次一般为100%，对于思想品德合格，且身体符合未录满专业要求，予以录取不退档。
退档问题,25***0@qq.com (辽宁),2018-06-28 14:55,只要学生被提档且服从调剂就不会被退档吗,我校平行志愿投档批次一般为100%，对于思想品德合格，且身体符合未录满专业要求，予以录取不退档。
报考贵校,18***49 (新疆),2018-06-28 13:06,我是新疆考生，564排名4900，可以报贵校嘛,您好，考生，请参考2017年辽宁大学在新疆录取的分数和位次，并结合2018年位次和招生计划进行报考。
辽宁理477，想报考贵校有希望吗？,18***72 (辽宁),2018-06-28 11:17,想报辽阳校区,您好，辽宁大学辽阳校区2017年理科最低录取分465分，位次45361.请结合2018年考生成绩位次报考。
报考咨询,13***16 (山东),2018-06-28 10:41,山东文科612分，3043名，想读金融、经济、会计专业，报贵校有把握吗？,考生，您好，请结合2017年辽宁大学金融学类、经济学类、会计学专业在山东省最低录取分和位次，并结合2018年专业招生计划和考生成绩所在位次进行报考。
转专业,13***63 (湖南),2018-06-28 09:10,老师您好。贵校转专业困难吗？,您好，我校有专业转换的相关文件，详情可查阅辽宁大学本科招生网、辽宁大学本科招生章程。
录取,13***10 (四川),2018-06-27 15:24,老师好，我是四川文科考生，分数594，高出重本41分，排位3072，服从专业调配，报考本校有希望吗？能请您告诉我您往年在四川招生的最低位次吗？,辽宁大学2017年在川文科录取最低分578，请结合2017年四川省一分一段表进行报考。
毕业证,15***50 (辽宁),2018-06-27 12:43,一本二本的专业毕业证书一样吗,辽宁大学本科毕业证书不体现批次，不体现校区。
辽宁大学,13***03 (广东),2018-06-27 11:23,老师您好，我是广东考生，考524分能上本校化学专业吗？,您好，辽宁大学2018年在广东未设置化学专业计划。
辽宁理工,13***83 (辽宁),2018-06-26 16:45,请问辽宁今年理工557分，能被贵校录取吗？,您好，考生，辽宁大学2017年理工普通类最低17835，合作办学专业理工最低22753，辽阳校区（原二批次）理工最低45361.您的成绩557分，在2018年位次为24840.希望您结合位次信息和计划情况报考。
辽宁大学辽阳校区,13***46 (辽宁),2018-06-26 14:12,辽宁理科考生501分能上你们学校吗,您好，考生，辽宁大学辽阳校区理科设日语、商务英语专业。2017年最低录取分465分，位次45361.。501分在2018年位次表中45498.略靠后于2017年位次。
录取几率,15***11 (辽宁),2018-06-22 09:22,老师你好，我是辽宁朝阳的农村考生，理科生，估分大约520分左右，想通过辽宁省农村地方专项考入贵校，请问录取几率高吗,您好，考生，请参考2017年录取分数和位次，并结合2018年招生计划和您考分所在位次进行报考。
二本专业,dx*** (河南),2012-06-26 10:16,请问贵校的二本专业在河南是否招生,没有。
分数问题,ln*** (辽宁),2012-06-14 16:47,您好老师，我是辽宁考生，今年估分在555分左右，想报考贵校的经济类、金融等专业，有希望吗？女孩子报考除了我前面说的专业外，还有什么专业适合女孩子？谢谢,请参考往年录取分数，酌情报考。建议结合考生的兴趣爱好及职业规划报考。
录取咨询,li*** (辽宁),2012-06-14 16:14,您好，我是辽宁理科考生，今年估470分，请问可以被贵校的金融学或者经济学专业录取吗？谢谢！,我校在辽宁省二批本录取的金融学、国际经济与贸易（国际商务方向）、会计学（国际会计方向）都是中外合作办学专业，3个专业最低分为483分。
理科 500,gu***6235066 (辽宁),2012-06-14 15:49,您好请问贵校的二本新闻专业是否招收理科学生500分录取的几率如何谢谢,我校在二本没有新闻学专业招生。
国防生,ax*** (江苏),2012-06-14 15:22,老师您好：请问贵校是否招收二志愿国防生？指挥类与非指挥类专业有何区别？,如果我校第一志愿招不满，继续招收第二、第三志愿，直到录取满为止。指挥类专业是为部队培养基层军事、政治、后勤军官和从事机关工作的各类干部，非指挥类专业是为部队、军队科研单位、军队院校培养专业技术人才。具体问题可以咨询我校选陪办公室024-62202270
二本英语,ji***851 (辽宁),2012-06-14 15:21,贵校的二本英语专业是在辽阳吗？毕业证与主校的有区别吗？,在辽宁省二本录取的英语专业是在辽阳校区就读。毕业证落款都是辽宁大学，没有区别。
辽大的国际商学院面试问题,ch*** (辽宁),2012-06-14 11:39,我想问贵校面试如果通过的话，是一二本都能报了吗？,辽宁大学在辽宁省组织的英语测试是指新华国际商学院、亚澳商学院对报考考生进行的英语水平测试。在辽宁省，新华国际商学院在一批B录取，亚澳商学院在二本录取。需要考生分别参加测试，测试成绩不通用。
报考咨询,50*** (福建),2012-06-14 09:33,播音主持专业是不是认同我们本省的省统考成绩？如果认同的话文化课大概要多少分？,辽宁省在福建省没有广播电视编导（播音与节目主持方向）招生。
